# LBP1 gmats that get remapped in LBP2
# Used for handling backporter
# from, to

g106493, g106497
g106492, g106496
g154680, g38924
g78865, g87096
g77356, g66636
g12719, g1124
g92128, g66675
g107287, g75897
g3842, g2191
g72428, g72883
g5207, g16596
g5190, g16601
g125425, g8435
g8436, g8468
g3840, g16663
g3843, g16664
g3905, g16665
g3841, g16666
g3848, g16667
g80432, g64840
g80891, g81245
g9493, g11669
g158530, g9737
g121620, g8742
g105961, g5680
g66129, g66127
g81029, g67231
g154680, g68259
g3848, g2754
g3850, g2759
g81633, g81629
g81634, g81631
g77356, g26400
g106491, g106495
