# LBP1 plans that get remapped in LBP2
# Used for handling backporter
# from, to

g83655, g31701
g83656, g31703
g83657, g31704
g83658, g31706
g83659, g31707
g83660, g31710
g83661, g31714
g83662, g31715
g83663, g31716
g83664, g31717
g83665, g31719
g83694, g32768
g83695, g32769
g83696, g32770
g83697, g32771
g83667, g32799
g83668, g32800
g83669, g32801
g83670, g32802
g83671, g32803
g83682, g33099
g83683, g33100
g83684, g33101
g83685, g33103
g83673, g33132
g83674, g33133
g83675, g33134
g83676, g33135
g83677, g33136
g83679, g33137
g83680, g33138
g83681, g33139
g83687, g33188
g83688, g33189
g83689, g33190
g83690, g33191
g83691, g33192
g83692, g33193
g83693, g33196
g83678, g34541
g83672, g34557
g156367, g39747
g83666, g45765
g130012, g51309
g156368, g52018
g103727, g52020
g124479, g52021
g103723, g52030
g103722, g52033
g92667, g54695
g83686, g56414
g83666, g119449
